Date,Price,USD / MYR Price
1/29/2003,369.90,3.8
1/30/2003,367.60,3.8
1/31/2003,367.50,3.8
2/3/2003,369.50,3.8
2/4/2003,376.60,3.8
2/5/2003,382.10,3.8
2/6/2003,375.80,3.8
2/7/2003,373.30,3.8
2/10/2003,370.50,3.8
2/11/2003,364.00,3.8
2/12/2003,356.30,3.8
2/13/2003,352.80,3.8
2/14/2003,354.30,3.8
2/17/2003,347.00,3.8
2/18/2003,344.10,3.8
2/19/2003,346.00,3.8
2/20/2003,351.60,3.8
2/21/2003,352.30,3.8
2/24/2003,355.20,3.8
2/25/2003,357.60,3.8
2/26/2003,351.90,3.8
2/27/2003,351.30,3.8
2/28/2003,347.50,3.8
3/3/2003,345.50,3.8
3/4/2003,353.40,3.8
3/5/2003,354.00,3.8
3/6/2003,354.70,3.8
3/7/2003,350.80,3.8
3/10/2003,354.50,3.7999
3/11/2003,348.70,3.8
3/12/2003,346.10,3.8
3/13/2003,334.50,3.8
3/14/2003,335.20,3.8
3/17/2003,340.80,3.8
3/18/2003,338.80,3.8
3/19/2003,335.80,3.8
3/20/2003,335.80,3.8
3/21/2003,333.50,3.8
3/24/2003,329.50,3.8
3/25/2003,331.90,3.8
3/26/2003,330.00,3.8
3/27/2003,332.80,3.8
3/28/2003,330.80,3.8
3/31/2003,334.90,3.8
4/1/2003,334.40,3.8
4/2/2003,329.30,3.8
4/3/2003,323.70,3.8
4/4/2003,323.80,3.8
4/7/2003,319.90,3.8
4/8/2003,323.40,3.8
4/9/2003,321.40,3.8
4/10/2003,324.60,3.8
4/11/2003,324.80,3.8
4/14/2003,326.00,3.8
4/15/2003,325.50,3.8
4/16/2003,324.10,3.8
4/17/2003,327.00,3.8
4/18/2003,327.00,3.8
4/21/2003,327.00,3.8
4/22/2003,334.90,3.8
4/23/2003,333.30,3.8
4/24/2003,333.70,3.8
4/25/2003,333.30,3.8
4/28/2003,332.60,3.8
4/29/2003,331.40,3.8
4/30/2003,336.80,3.8
5/1/2003,341.20,3.8
5/2/2003,340.50,3.8
5/5/2003,340.50,3.8
5/6/2003,342.90,3.8001
5/7/2003,341.90,3.8
5/8/2003,346.50,3.8
5/9/2003,347.90,3.8
5/12/2003,351.10,3.8
5/13/2003,350.40,3.8
5/14/2003,353.60,3.8
5/15/2003,354.30,3.8
